ticker,time,open,close,high,low,volume
VNINDEX,2025-06-27,1365.67,1371.44,1373.28,1362.09,678584222
VNINDEX,2025-06-30,1371.44,1376.07,1377.3,1371.44,637621732
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VHM,2025-06-27,76.5,77.0,77.4,74.0,4782275
VHM,2025-06-30,77.0,76.7,77.0,76.0,3766779
VHM,2025-07-01,76.4,76.3,76.7,74.8,3860973
VHM,2025-07-02,75.3,76.0,76.1,74.7,4381230
VHM,2025-07-03,75.2,76.3,76.8,75.2,3221582
VHM,2025-07-04,76.3,76.0,76.4,75.2,3227630
VIC,2025-06-27,95.0,95.5,96.1,92.4,3037579
VIC,2025-06-30,95.5,95.6,96.3,95.1,1269261
VIC,2025-07-01,95.7,95.6,96.5,93.5,2339706
VIC,2025-07-02,94.3,95.4,95.5,94.3,1094369
VIC,2025-07-03,94.6,94.5,95.2,93.9,1894721
VIC,2025-07-04,94.4,91.9,94.4,91.5,3988471
VRE,2025-06-27,24.5,24.8,24.8,24.35,3687424
VRE,2025-06-30,24.8,24.65,24.95,24.55,3086135
VRE,2025-07-01,24.65,24.8,24.8,24.45,2540683
VRE,2025-07-02,24.8,25.2,25.35,24.6,3834590
VRE,2025-07-03,25.2,25.05,25.2,24.75,6857442
VRE,2025-07-04,25.1,25.15,25.5,25.05,4591603
KDH,2025-06-27,29.05,29.0,29.3,28.85,1832489
KDH,2025-06-30,29.05,29.4,29.4,28.85,4052277
KDH,2025-07-01,29.4,29.45,29.65,29.0,1647530
KDH,2025-07-02,29.45,29.2,29.45,29.15,1686686
KDH,2025-07-03,29.2,29.35,29.7,29.2,2215125
KDH,2025-07-04,29.4,29.7,30.1,29.4,3705117
SSH,2025-06-27,88.6,89.0,89.0,88.6,33300
SSH,2025-06-30,89.0,89.3,89.7,88.9,42200
SSH,2025-07-01,89.3,89.3,89.3,88.5,43100
SSH,2025-07-02,89.3,89.2,89.4,88.7,45101
SSH,2025-07-03,89.3,88.9,89.5,88.7,41905
SSH,2025-07-04,89.0,88.1,89.1,88.0,40800
NVL,2025-06-27,15.2,15.0,15.3,15.0,10735390
NVL,2025-06-30,15.2,15.15,15.6,15.1,14829629
NVL,2025-07-01,15.3,15.15,15.3,14.95,9895928
NVL,2025-07-02,15.0,15.1,15.25,14.95,9791654
NVL,2025-07-03,15.05,14.9,15.2,14.9,16316580
